course_id,title,provider,level,duration_weeks,rating,enrolled_k,skills,url
C001,Python for Everybody Specialization,Coursera (University of Michigan),Beginner,8,4.8,2100,Python;Data Structures & Algorithms;Problem Solving,https://www.coursera.org/specializations/python
C002,CS50's Introduction to Computer Science,edX (Harvard University),Beginner,12,4.9,4800,Data Structures & Algorithms;Problem Solving;Python;System Design,https://www.edx.org/cs50
C003,Meta Front-End Developer Professional Certificate,Coursera (Meta),Beginner,20,4.7,350,JavaScript;React/Frontend Frameworks;HTML/CSS;Git,https://www.coursera.org/professional-certificates/meta-front-end-developer
C004,Meta Back-End Developer Professional Certificate,Coursera (Meta),Intermediate,20,4.6,180,Python;SQL;REST APIs;System Design,https://www.coursera.org/professional-certificates/meta-back-end-developer
C005,The Complete Node.js Developer Course,Udemy,Intermediate,6,4.7,220,Node.js;JavaScript;REST APIs;Testing & QA,https://www.udemy.com/course/the-complete-nodejs-developer-course-2
C006,Machine Learning Specialization,Coursera (Stanford / DeepLearning.AI),Intermediate,12,4.9,4600,Machine Learning;Python;Statistics;Data Structures & Algorithms,https://www.coursera.org/specializations/machine-learning-introduction
C007,Deep Learning Specialization,Coursera (DeepLearning.AI),Advanced,16,4.9,1200,Deep Learning;TensorFlow/PyTorch;Machine Learning;Python,https://www.coursera.org/specializations/deep-learning
C008,IBM Data Science Professional Certificate,Coursera (IBM),Beginner,20,4.6,1300,Python;SQL;Data Visualization;Machine Learning;Statistics,https://www.coursera.org/professional-certificates/ibm-data-science
C009,Google Data Analytics Professional Certificate,Coursera (Google),Beginner,24,4.8,2200,SQL;Data Visualization;BI Tools (Tableau/Power BI);Excel/Spreadsheets;Communication,https://www.coursera.org/professional-certificates/google-data-analytics
C010,Google Advanced Data Analytics Professional Certificate,Coursera (Google),Intermediate,24,4.7,250,Python;Machine Learning;Statistics;Data Visualization,https://www.coursera.org/professional-certificates/google-advanced-data-analytics
C011,Google IT Support Professional Certificate,Coursera (Google),Beginner,24,4.7,1900,Linux;Networking;Troubleshooting;Cybersecurity Fundamentals,https://www.coursera.org/professional-certificates/google-it-support
C012,Google Cybersecurity Professional Certificate,Coursera (Google),Beginner,24,4.8,700,Cybersecurity Fundamentals;Network Security;Incident Response;Linux,https://www.coursera.org/professional-certificates/google-cybersecurity
C013,IBM Cybersecurity Analyst Professional Certificate,Coursera (IBM),Beginner,24,4.6,220,Cybersecurity Fundamentals;Network Security;Penetration Testing;Incident Response,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst
C014,Ethical Hacking Specialization,Coursera (Infosec Institute),Intermediate,12,4.5,60,Penetration Testing;Network Security;Cybersecurity Fundamentals;Cryptography,https://www.coursera.org/specializations/ethical-hacking
C015,Practical Ethical Hacking,Udemy (Heath Adams / TCM Security),Intermediate,6,4.8,210,Penetration Testing;Linux;Network Security,https://www.udemy.com/course/practical-ethical-hacking
C016,AWS Certified Solutions Architect – Associate,Udemy (Stephane Maarek),Intermediate,8,4.7,900,Cloud Platforms;System Design;Networking;Cost Optimization,https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03
C017,Google Cloud Digital Leader Training,Coursera (Google Cloud),Beginner,6,4.6,90,Cloud Platforms;Communication,https://www.coursera.org/professional-certificates/cloud-digital-leader-training
C018,Microsoft Azure Fundamentals AZ-900,Udemy (Scott Duffy),Beginner,4,4.6,300,Cloud Platforms;Networking;Cybersecurity Fundamentals,https://www.udemy.com/course/az900-azure
C019,Docker and Kubernetes: The Complete Guide,Udemy (Stephen Grider),Intermediate,10,4.7,280,Containers & Orchestration;CI/CD;Linux,https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide
C020,HashiCorp Certified: Terraform Associate,Udemy (Zeal Vora),Intermediate,6,4.6,95,Terraform/IaC;Cloud Platforms;System Design,https://www.udemy.com/course/terraform-beginner-to-advanced
C021,DevOps Bootcamp,Udemy (KodeKloud),Intermediate,10,4.7,200,CI/CD;Containers & Orchestration;Linux;Monitoring & Observability;Terraform/IaC,https://www.udemy.com/course/devops-bootcamp
