soc,title,category,description,salary_low,salary_high,skills,interests
15-1252.00,Software Developer,Engineering,"Designs, builds and maintains applications and systems software, translating requirements into working, maintainable code.",75000,145000,Python:5;JavaScript:4;Data Structures & Algorithms:5;Git:5;REST APIs:4;SQL:3;System Design:3;Problem Solving:5;CI/CD:3;Testing & QA:3,building products|problem solving|software engineering
15-2051.00,Data Scientist,Data & AI,"Extracts insight and predictive value from data using statistics, machine learning and experimentation.",95000,165000,Python:5;Statistics:5;Machine Learning:5;SQL:4;Data Visualization:4;Deep Learning:3;Data Structures & Algorithms:2;Communication:3;Big Data Tools:2,data & analytics|artificial intelligence|research
15-2051.01,Machine Learning Engineer,Data & AI,"Builds, trains and productionizes ML models, bridging data science prototypes and reliable production systems.",105000,175000,Python:5;Machine Learning:5;Deep Learning:5;TensorFlow/PyTorch:4;System Design:3;Cloud Platforms:4;Data Structures & Algorithms:4;CI/CD:3;Statistics:3,artificial intelligence|software engineering|research
15-1212.00,Information Security Analyst,Security,"Protects systems and networks by monitoring for threats, hardening infrastructure and responding to incidents.",85000,150000,Network Security:5;Cybersecurity Fundamentals:5;Risk Assessment:4;Linux:3;Cryptography:3;Penetration Testing:3;Compliance & Auditing:3;Incident Response:4;Python:2,cybersecurity|risk & compliance|problem solving
15-1211.01,Cloud Solutions Architect,Cloud & Infra,"Designs scalable, resilient cloud infrastructure and guides teams on cloud-native best practice.",115000,185000,Cloud Platforms:5;System Design:5;Networking:4;Terraform/IaC:4;Containers & Orchestration:4;Cybersecurity Fundamentals:3;Linux:3;Cost Optimization:3;Communication:3,cloud & infrastructure|system design|leadership
15-1244.00,DevOps / Site Reliability Engineer,Cloud & Infra,"Builds the automation, monitoring and delivery pipelines that keep software shipping fast and running reliably.",100000,170000,CI/CD:5;Containers & Orchestration:5;Cloud Platforms:4;Linux:4;Terraform/IaC:4;Monitoring & Observability:4;Python:3;Networking:3;Incident Response:3,cloud & infrastructure|automation|problem solving
15-1211.00,Full-Stack Web Developer,Engineering,Builds both the client-facing interface and the server-side logic of web applications end to end.,70000,135000,JavaScript:5;React/Frontend Frameworks:5;Node.js:4;SQL:3;REST APIs:4;HTML/CSS:5;Git:4;System Design:2;Testing & QA:2,building products|ui/ux|software engineering
15-1254.00,Mobile Application Developer,Engineering,Designs and builds native or cross-platform mobile apps for iOS and Android.,75000,140000,Mobile Development:5;Kotlin/Swift:4;React Native/Flutter:4;REST APIs:3;UI Design:3;Git:3;Testing & QA:3;Problem Solving:3,building products|ui/ux|software engineering
15-1211.02,Data Engineer,Data & AI,Builds the pipelines and warehouses that move and shape data reliably at scale for analytics and ML.,95000,160000,Python:4;SQL:5;Big Data Tools:5;ETL Pipelines:5;Cloud Platforms:4;Data Warehousing:4;System Design:3;Linux:2,data & analytics|cloud & infrastructure|automation
15-2041.00,Business Intelligence Analyst,Data & AI,Turns raw business data into dashboards and insight that drive decisions across an organization.,70000,120000,SQL:5;Data Visualization:5;BI Tools (Tableau/Power BI):5;Statistics:3;Communication:4;Data Warehousing:3;Excel/Spreadsheets:3,data & analytics|business strategy|communication
15-1299.08,Cybersecurity Penetration Tester,Security,Simulates real-world attacks to find and report exploitable weaknesses before adversaries do.,90000,155000,Penetration Testing:5;Network Security:4;Cybersecurity Fundamentals:4;Linux:4;Python:3;Cryptography:2;Incident Response:2;Communication:3,cybersecurity|problem solving|research
15-1232.00,QA / Test Automation Engineer,Engineering,Designs automated test suites and quality processes that catch defects before they reach users.,65000,120000,Testing & QA:5;Test Automation Frameworks:5;Python:3;JavaScript:2;CI/CD:3;SQL:2;Problem Solving:4;Communication:2,software engineering|problem solving|quality
15-1211.03,Blockchain Developer,Engineering,Designs and implements smart contracts and decentralized applications on blockchain platforms.,95000,165000,Solidity/Smart Contracts:5;Blockchain Fundamentals:5;JavaScript:3;Cryptography:3;System Design:3;Python:2;Testing & QA:2,artificial intelligence|software engineering|research
15-1211.04,AI Research Scientist,Data & AI,"Advances the state of the art in machine learning through original research, experimentation and publication.",120000,200000,Machine Learning:5;Deep Learning:5;Statistics:5;Python:4;TensorFlow/PyTorch:4;Research & Experimentation:5;Communication:3,artificial intelligence|research|academia
